               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.019565,           0.0094949,           0.0069374,             0.96929,             0.98186,              0.9873,             0.89437,            0.011171,           0.0051393,           0.0027452,            0.005215,            0.005215,            0.005215
                  60,            0.019342,           0.0094867,           0.0065487,             0.96926,             0.98217,             0.98726,             0.89498,            0.011121,           0.0051202,           0.0027116,           0.0051325,           0.0051325,           0.0051325
                  61,            0.019315,           0.0094127,           0.0066694,             0.96894,             0.98202,             0.98722,             0.89549,            0.011079,           0.0051044,           0.0026899,             0.00505,             0.00505,             0.00505
                  62,            0.019198,           0.0094709,           0.0067849,             0.97081,             0.98069,             0.98737,             0.89589,            0.011055,           0.0050905,           0.0026583,           0.0049675,           0.0049675,           0.0049675
                  63,            0.019215,           0.0094149,           0.0066338,             0.97143,             0.98022,             0.98742,             0.89665,            0.010994,           0.0050741,           0.0026319,            0.004885,            0.004885,            0.004885
                  64,            0.019074,           0.0092841,           0.0066224,             0.97085,             0.98067,             0.98748,             0.89726,            0.010959,           0.0050605,           0.0026096,           0.0048025,           0.0048025,           0.0048025
                  65,            0.018668,            0.009354,           0.0065733,             0.97054,             0.98133,             0.98761,             0.89808,             0.01093,           0.0050436,           0.0025865,             0.00472,             0.00472,             0.00472
                  66,            0.018732,           0.0091451,           0.0061922,             0.96972,             0.98213,              0.9877,             0.89882,            0.010906,           0.0050299,           0.0025697,           0.0046375,           0.0046375,           0.0046375
                  67,            0.018752,           0.0091802,           0.0063092,             0.97148,             0.98104,             0.98772,             0.89959,             0.01086,           0.0050176,           0.0025514,            0.004555,            0.004555,            0.004555
                  68,            0.018649,           0.0091439,           0.0063073,             0.97261,             0.97935,             0.98774,             0.89976,            0.010818,           0.0050064,           0.0025324,           0.0044725,           0.0044725,           0.0044725
                  69,            0.018408,           0.0091059,           0.0059657,             0.97126,             0.98025,             0.98778,             0.89949,             0.01081,           0.0049992,           0.0025167,             0.00439,             0.00439,             0.00439
                  70,            0.018308,           0.0090642,           0.0061218,             0.97067,             0.98033,             0.98771,             0.89952,            0.010795,           0.0049945,           0.0024974,           0.0043075,           0.0043075,           0.0043075
                  71,            0.018051,           0.0090176,           0.0059746,             0.97295,             0.97896,             0.98777,             0.89988,            0.010764,           0.0049828,           0.0024811,            0.004225,            0.004225,            0.004225
                  72,             0.01796,           0.0090127,           0.0059428,             0.97286,             0.97886,             0.98772,             0.90037,            0.010743,           0.0049775,            0.002466,           0.0041425,           0.0041425,           0.0041425
                  73,            0.017733,           0.0088813,           0.0057737,             0.97089,             0.98107,             0.98775,             0.90086,            0.010725,           0.0049706,           0.0024513,             0.00406,             0.00406,             0.00406
                  74,            0.017812,           0.0089663,           0.0057605,             0.97106,             0.98129,             0.98775,             0.90121,            0.010699,           0.0049627,           0.0024363,           0.0039775,           0.0039775,           0.0039775
                  75,            0.017399,           0.0088067,           0.0056369,             0.97084,             0.98165,             0.98778,             0.90141,            0.010682,           0.0049547,           0.0024224,            0.003895,            0.003895,            0.003895
                  76,            0.017577,           0.0088909,           0.0057387,              0.9713,             0.98124,             0.98779,             0.90158,            0.010672,           0.0049469,           0.0024081,           0.0038125,           0.0038125,           0.0038125
                  77,            0.017455,           0.0087755,           0.0055548,             0.97162,             0.98151,             0.98785,             0.90209,            0.010651,           0.0049377,            0.002395,             0.00373,             0.00373,             0.00373
                  78,             0.01716,           0.0087341,           0.0056845,             0.97183,             0.98145,             0.98788,             0.90244,            0.010637,           0.0049302,           0.0023809,           0.0036475,           0.0036475,           0.0036475
                  79,            0.017344,           0.0087351,             0.00555,             0.97165,             0.98179,              0.9879,             0.90254,            0.010626,           0.0049223,           0.0023688,            0.003565,            0.003565,            0.003565
                  80,            0.016974,           0.0085967,           0.0054001,             0.97173,             0.98149,             0.98791,             0.90258,             0.01062,           0.0049162,           0.0023562,           0.0034825,           0.0034825,           0.0034825
                  81,            0.016821,           0.0085862,           0.0053633,             0.97166,             0.98186,             0.98796,             0.90309,            0.010609,           0.0049082,           0.0023453,              0.0034,              0.0034,              0.0034
